category,command_name,subcommands,arguments,flags,graphql_operation_used,description,entity,tags
query,linear query,available-users,,"--select <fields|@file>, --format <human|json>",availableUsers,Fetch users belonging to this user account.,User,
query,linear query,comment,<id>,"--hash <value>, --select <fields|@file>, --format <human|json>",comment,A specific comment.,Comment,
query,linear query,comments,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",comments,All comments.,Comment,
query,linear query,custom-view,<id>,"--select <fields|@file>, --format <human|json>",customView,One specific custom view.,CustomView,
query,linear query,custom-view-details-suggestion,,"--filter <json|@file>, --model-name <value>, --select <fields|@file>, --format <human|json>",customViewDetailsSuggestion,[INTERNAL] Suggests metadata for a view based on it's filters.,CustomView,internal
query,linear query,custom-view-has-subscribers,<id>,"--select <fields|@file>, --format <human|json>",customViewHasSubscribers,Whether a custom view has other subscribers than the current user in the organization.,CustomView,
query,linear query,custom-views,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --sort <json|@file>, --select <fields|@file>, --format <human|json>",customViews,Custom views for the user.,CustomView,
query,linear query,customer,<id>,"--select <fields|@file>, --format <human|json>",customer,One specific customer.,Customer,
query,linear query,customer-need,<id>,"--hash <value>, --select <fields|@file>, --format <human|json>",customerNeed,One specific customer need,CustomerNeed,
query,linear query,customer-needs,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",customerNeeds,All customer needs.,CustomerNeed,
query,linear query,customer-status,<id>,"--select <fields|@file>, --format <human|json>",customerStatus,One specific customer status.,CustomerStatus,
query,linear query,customer-statuses,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",customerStatuses,All customer statuses.,CustomerStatus,
query,linear query,customer-tier,<id>,"--select <fields|@file>, --format <human|json>",customerTier,One specific customer tier.,CustomerTier,
query,linear query,customer-tiers,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",customerTiers,All customer tiers.,CustomerTier,
query,linear query,customers,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --sorts <json|@file>, --select <fields|@file>, --format <human|json>",customers,All customers.,Customer,
query,linear query,cycle,<id>,"--select <fields|@file>, --format <human|json>",cycle,One specific cycle.,Cycle,
query,linear query,cycles,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",cycles,All cycles.,Cycle,
query,linear query,document,<id>,"--select <fields|@file>, --format <human|json>",document,One specific document.,Document,
query,linear query,document-content-history,<id>,"--select <fields|@file>, --format <human|json>",documentContentHistory,A collection of document content history entries.,DocumentContent,
query,linear query,documents,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",documents,All documents in the workspace.,Document,
query,linear query,email-intake-address,<id>,"--select <fields|@file>, --format <human|json>",emailIntakeAddress,One specific email intake address.,EmailIntakeAddress,
query,linear query,emoji,<id>,"--select <fields|@file>, --format <human|json>",emoji,A specific emoji.,Emoji,
query,linear query,emojis,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",emojis,All custom emojis.,Emoji,
query,linear query,entity-external-link,<id>,"--select <fields|@file>, --format <human|json>",entityExternalLink,One specific entity link.,EntityExternalLink,
query,linear query,external-user,<id>,"--select <fields|@file>, --format <human|json>",externalUser,One specific external user.,ExternalUser,
query,linear query,external-users,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",externalUsers,All external users for the organization.,ExternalUser,
query,linear query,failures-for-oauth-webhooks,,"--oauth-client-id <value>, --select <fields|@file>, --format <human|json>",failuresForOauthWebhooks,[INTERNAL] Webhook failure events for webhooks that belong to an OAuth application. (last 50),Webhook,internal
query,linear query,favorite,<id>,"--select <fields|@file>, --format <human|json>",favorite,One specific favorite.,Favorite,
query,linear query,favorites,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",favorites,The user's favorites.,Favorite,
query,linear query,fetch-data,,"--query <value>, --select <fields|@file>, --format <human|json>",fetchData,"[Internal] Fetch an arbitrary set of data using natural language query. Be specific about what you want including properties for each entity, sort order, filters, limit and properties.",Integration,internal
query,linear query,initiative,<id>,"--select <fields|@file>, --format <human|json>",initiative,One specific initiative.,Initiative,
query,linear query,initiative-relation,<id>,"--select <fields|@file>, --format <human|json>",initiativeRelation,One specific initiative relation.,ProjectRelation,
query,linear query,initiative-relations,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",initiativeRelations,All initiative relationships.,InitiativeRelation,
query,linear query,initiative-to-project,<id>,"--select <fields|@file>, --format <human|json>",initiativeToProject,One specific initiativeToProject.,InitiativeToProject,
query,linear query,initiative-to-projects,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",initiativeToProjects,returns a list of initiative to project entities.,InitiativeToProject,
query,linear query,initiative-update,<id>,"--select <fields|@file>, --format <human|json>",initiativeUpdate,A specific  initiative update.,InitiativeUpdate,
query,linear query,initiative-updates,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",initiativeUpdates,All  InitiativeUpdates.,InitiativeUpdate,
query,linear query,initiatives,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --sort <json|@file>, --select <fields|@file>, --format <human|json>",initiatives,All initiatives in the workspace.,Initiative,
query,linear query,integration,<id>,"--select <fields|@file>, --format <human|json>",integration,One specific integration.,Integration,
query,linear query,integration-has-scopes,,"--integration-id <value>, --scopes <value>, --select <fields|@file>, --format <human|json>",integrationHasScopes,Checks if the integration has all required scopes.,IntegrationHasScopesPayload,
query,linear query,integration-template,<id>,"--select <fields|@file>, --format <human|json>",integrationTemplate,One specific integrationTemplate.,IntegrationTemplate,
query,linear query,integration-templates,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",integrationTemplates,Template and integration connections.,IntegrationTemplate,
query,linear query,integrations,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",integrations,All integrations.,Integration,
query,linear query,integrations-settings,<id>,"--select <fields|@file>, --format <human|json>",integrationsSettings,One specific set of settings.,IntegrationsSettings,
query,linear query,issue,<id>,"--select <fields|@file>, --format <human|json>",issue,One specific issue.,Issue,
query,linear query,issue-figma-file-key-search,,"--after <value>, --before <value>, --file-key <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",issueFigmaFileKeySearch,Find issues that are related to a given Figma file key.,Issue,
query,linear query,issue-filter-suggestion,,"--project-id <value>, --prompt <value>, --team-id <value>, --select <fields|@file>, --format <human|json>",issueFilterSuggestion,Suggests filters for an issue view based on a text prompt.,Issue,
query,linear query,issue-import-check-csv,,"--csv-url <value>, --service <value>, --select <fields|@file>, --format <human|json>",issueImportCheckCSV,Checks a CSV file validity against a specific import service.,IssueImport,
query,linear query,issue-import-check-sync,,"--issue-import-id <value>, --select <fields|@file>, --format <human|json>",issueImportCheckSync,Checks whether it will be possible to setup sync for this project or repository at the end of import,IssueImport,
query,linear query,issue-import-jql-check,,"--jira-email <value>, --jira-hostname <value>, --jira-project <value>, --jira-token <value>, --jql <value>, --select <fields|@file>, --format <human|json>",issueImportJqlCheck,Checks whether a custom JQL query is valid and can be used to filter issues of a Jira import,IssueImport,
query,linear query,issue-label,<id>,"--select <fields|@file>, --format <human|json>",issueLabel,One specific label.,IssueLabel,
query,linear query,issue-labels,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",issueLabels,All issue labels.,IssueLabel,
query,linear query,issue-priority-values,,"--select <fields|@file>, --format <human|json>",issuePriorityValues,Issue priority values and corresponding labels.,Issue,
query,linear query,issue-relation,<id>,"--select <fields|@file>, --format <human|json>",issueRelation,One specific issue relation.,IssueRelation,
query,linear query,issue-relations,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",issueRelations,All issue relationships.,IssueRelation,
query,linear query,issue-repository-suggestions,,"--agent-session-id <value>, --candidate-repositories <json|@file>, --issue-id <value>, --select <fields|@file>, --format <human|json>",issueRepositorySuggestions,Returns code repositories that are most likely to be relevant for implementing an issue.,Issue,
query,linear query,issue-search,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --query <value>, --select <fields|@file>, --format <human|json>",issueSearch,[DEPRECATED] Search issues. This endpoint is deprecated and will be removed in the future – use `searchIssues` instead.,Issue,deprecated
query,linear query,issue-title-suggestion-from-customer-request,,"--request <value>, --select <fields|@file>, --format <human|json>",issueTitleSuggestionFromCustomerRequest,Suggests issue title based on a customer request.,Issue,
query,linear query,issue-to-release,<id>,"--select <fields|@file>, --format <human|json>",issueToRelease,[ALPHA] One specific issueToRelease.,IssueToRelease,alpha
query,linear query,issue-to-releases,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",issueToReleases,[ALPHA] Returns a list of issue to release entities.,IssueToRelease,alpha
query,linear query,issue-vcs-branch-search,,"--branch-name <value>, --select <fields|@file>, --format <human|json>",issueVcsBranchSearch,Find issue based on the VCS branch name.,Issue,
query,linear query,issues,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --sort <json|@file>, --select <fields|@file>, --format <human|json>",issues,All issues.,Issue,
query,linear query,latest-release-by-access-key,,"--select <fields|@file>, --format <human|json>",latestReleaseByAccessKey,[ALPHA] Returns the latest release for the pipeline associated with the access key.,Release,alpha
query,linear query,notification,<id>,"--select <fields|@file>, --format <human|json>",notification,One specific notification.,Notification,
query,linear query,notification-subscription,<id>,"--select <fields|@file>, --format <human|json>",notificationSubscription,One specific notification subscription.,NotificationSubscription,
query,linear query,notification-subscriptions,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",notificationSubscriptions,The user's notification subscriptions.,NotificationSubscription,
query,linear query,notifications,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",notifications,All notifications.,Notification,
query,linear query,notifications-unread-count,,"--select <fields|@file>, --format <human|json>",notificationsUnreadCount,[Internal] A number of unread notifications.,Notification,internal
query,linear query,organization,,"--select <fields|@file>, --format <human|json>",organization,The user's organization.,Organization,
query,linear query,organization-domain-claim-request,<id>,"--select <fields|@file>, --format <human|json>",organizationDomainClaimRequest,[INTERNAL] Checks whether the domain can be claimed.,OrganizationDomainClaimPayload,internal
query,linear query,organization-exists,,"--url-key <value>, --select <fields|@file>, --format <human|json>",organizationExists,Does the organization exist.,Organization,
query,linear query,organization-invite,<id>,"--select <fields|@file>, --format <human|json>",organizationInvite,One specific organization invite.,OrganizationInvite,
query,linear query,organization-invite-details,<id>,"--select <fields|@file>, --format <human|json>",organizationInviteDetails,One specific organization invite.,Organization,
query,linear query,organization-invites,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",organizationInvites,All invites for the organization.,OrganizationInvite,
query,linear query,organization-meta,,"--url-key <value>, --select <fields|@file>, --format <human|json>",organizationMeta,[INTERNAL] Get organization metadata by urlKey or organization id.,Organization,internal
query,linear query,project,<id>,"--select <fields|@file>, --format <human|json>",project,One specific project.,Project,
query,linear query,project-filter-suggestion,,"--prompt <value>, --team-id <value>, --select <fields|@file>, --format <human|json>",projectFilterSuggestion,Suggests filters for a project view based on a text prompt.,Project,
query,linear query,project-label,<id>,"--select <fields|@file>, --format <human|json>",projectLabel,One specific label.,ProjectLabel,
query,linear query,project-labels,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",projectLabels,All project labels.,ProjectLabel,
query,linear query,project-milestone,<id>,"--select <fields|@file>, --format <human|json>",projectMilestone,One specific project milestone.,ProjectMilestone,
query,linear query,project-milestones,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",projectMilestones,All milestones for the project.,ProjectMilestone,
query,linear query,project-relation,<id>,"--select <fields|@file>, --format <human|json>",projectRelation,One specific project relation.,ProjectRelation,
query,linear query,project-relations,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",projectRelations,All project relationships.,ProjectRelation,
query,linear query,project-status,<id>,"--select <fields|@file>, --format <human|json>",projectStatus,One specific project status.,ProjectStatus,
query,linear query,project-status-project-count,<id>,"--select <fields|@file>, --format <human|json>",projectStatusProjectCount,[INTERNAL] Count of projects using this project status across the organization.,ProjectStatus,internal
query,linear query,project-statuses,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",projectStatuses,All project statuses.,ProjectStatus,
query,linear query,project-update,<id>,"--select <fields|@file>, --format <human|json>",projectUpdate,A specific project update.,ProjectUpdate,
query,linear query,project-updates,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",projectUpdates,All project updates.,ProjectUpdate,
query,linear query,projects,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --sort <json|@file>, --select <fields|@file>, --format <human|json>",projects,All projects.,Project,
query,linear query,push-subscription-test,,"--send-strategy <json|@file>, --target-mobile <json|@file>, --select <fields|@file>, --format <human|json>",pushSubscriptionTest,Sends a test push message.,PushSubscription,
query,linear query,rate-limit-status,,"--select <fields|@file>, --format <human|json>",rateLimitStatus,The status of the rate limiter.,RateLimit,
query,linear query,release,<id>,"--select <fields|@file>, --format <human|json>",release,[ALPHA] One specific release.,Release,alpha
query,linear query,release-pipeline,<id>,"--select <fields|@file>, --format <human|json>",releasePipeline,[ALPHA] One specific release pipeline.,ReleasePipeline,alpha
query,linear query,release-pipeline-by-access-key,,"--select <fields|@file>, --format <human|json>",releasePipelineByAccessKey,[ALPHA] Returns a release pipeline by ID. Requires the access key to have access to the pipeline.,ReleasePipeline,alpha
query,linear query,release-pipelines,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",releasePipelines,[ALPHA] All release pipelines.,ReleasePipeline,alpha
query,linear query,release-search,,"--first <json|@file>, --term <value>, --select <fields|@file>, --format <human|json>",releaseSearch,[ALPHA] Search releases by term with ranked results.,Release,alpha
query,linear query,release-stage,<id>,"--select <fields|@file>, --format <human|json>",releaseStage,[ALPHA] One specific release stage.,ReleaseStage,alpha
query,linear query,release-stages,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",releaseStages,[ALPHA] All release stages.,ReleaseStage,alpha
query,linear query,releases,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",releases,[ALPHA] All releases.,Release,alpha
query,linear query,roadmap,<id>,"--select <fields|@file>, --format <human|json>",roadmap,One specific roadmap.,Roadmap,deprecated
query,linear query,roadmap-to-project,<id>,"--select <fields|@file>, --format <human|json>",roadmapToProject,One specific roadmapToProject.,RoadmapToProject,
query,linear query,roadmap-to-projects,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",roadmapToProjects,,RoadmapToProject,deprecated
query,linear query,roadmaps,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",roadmaps,All roadmaps in the workspace.,Roadmap,deprecated
query,linear query,search-documents,,"--after <value>, --before <value>, --first <value>, --include-archived, --include-comments, --last <value>, --order-by <value>, --team-id <value>, --term <value>, --select <fields|@file>, --format <human|json>",searchDocuments,Search documents.,Document,
query,linear query,search-issues,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --include-comments, --last <value>, --order-by <value>, --team-id <value>, --term <value>, --select <fields|@file>, --format <human|json>",searchIssues,Search issues.,Issue,
query,linear query,search-projects,,"--after <value>, --before <value>, --first <value>, --include-archived, --include-comments, --last <value>, --order-by <value>, --team-id <value>, --term <value>, --select <fields|@file>, --format <human|json>",searchProjects,Search projects.,Project,
query,linear query,semantic-search,,"--filters <json|@file>, --include-archived, --max-results <value>, --query <value>, --types <value>, --select <fields|@file>, --format <human|json>",semanticSearch,Search for various resources using natural language.,SemanticSearchResult,
query,linear query,sso-url-from-email,,"--email <value>, --is-desktop, --type <json|@file>, --select <fields|@file>, --format <human|json>",ssoUrlFromEmail,Fetch SSO login URL for the email provided.,SSO/Auth,
query,linear query,team,<id>,"--select <fields|@file>, --format <human|json>",team,One specific team.,Team,
query,linear query,team-membership,<id>,"--select <fields|@file>, --format <human|json>",teamMembership,One specific team membership.,TeamMembership,
query,linear query,team-memberships,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",teamMemberships,All team memberships.,TeamMembership,
query,linear query,teams,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",teams,"All teams whose issues can be accessed by the user. This might be different from `administrableTeams`, which also includes teams whose settings can be changed by the user.",Team,
query,linear query,template,<id>,"--select <fields|@file>, --format <human|json>",template,A specific template.,Template,
query,linear query,templates,,"--select <fields|@file>, --format <human|json>",templates,All templates from all users.,Template,
query,linear query,templates-for-integration,,"--integration-type <value>, --select <fields|@file>, --format <human|json>",templatesForIntegration,Returns all templates that are associated with the integration type.,Template,
query,linear query,time-schedule,<id>,"--select <fields|@file>, --format <human|json>",timeSchedule,A specific time schedule.,TimeSchedule,
query,linear query,time-schedules,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",timeSchedules,All time schedules.,TimeSchedule,
query,linear query,triage-responsibilities,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",triageResponsibilities,All triage responsibilities.,TriageResponsibility,
query,linear query,triage-responsibility,<id>,"--select <fields|@file>, --format <human|json>",triageResponsibility,A specific triage responsibility.,TriageResponsibility,
query,linear query,user,<id>,"--select <fields|@file>, --format <human|json>",user,One specific user.,User,
query,linear query,user-sessions,<id>,"--select <fields|@file>, --format <human|json>",userSessions,Lists the sessions of a user. Can only be called by an admin or owner.,AuthenticationSessionResponse,
query,linear query,user-settings,,"--select <fields|@file>, --format <human|json>",userSettings,The user's settings.,UserSettings,
query,linear query,users,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --include-disabled, --last <value>, --order-by <value>, --sort <json|@file>, --select <fields|@file>, --format <human|json>",users,All users for the organization.,User,
query,linear query,verify-git-hub-enterprise-server-installation,,"--integration-id <value>, --select <fields|@file>, --format <human|json>",verifyGitHubEnterpriseServerInstallation,Verify that we received the correct response from the GitHub Enterprise Server.,Integration,
query,linear query,viewer,,"--select <fields|@file>, --format <human|json>",viewer,The currently authenticated user.,User,
query,linear query,webhook,<id>,"--select <fields|@file>, --format <human|json>",webhook,A specific webhook.,Webhook,
query,linear query,webhooks,,"--after <value>, --before <value>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",webhooks,All webhooks.,Webhook,
query,linear query,workflow-state,<id>,"--select <fields|@file>, --format <human|json>",workflowState,One specific state.,WorkflowState,
query,linear query,workflow-states,,"--after <value>, --before <value>, --filter <json|@file>, --first <value>, --include-archived, --last <value>, --order-by <value>, --select <fields|@file>, --format <human|json>",workflowStates,All issue workflow states.,WorkflowState,
mutation,linear mutation,agent-activity-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",agentActivityCreate,Creates an agent activity.,AgentActivity,
mutation,linear mutation,agent-activity-create-prompt,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",agentActivityCreatePrompt,[Internal] Creates a prompt agent activity from Linear user input.,AgentActivity,internal
mutation,linear mutation,agent-session-create,,"--input <json|@file>, --pull-request-id <value>, --select <fields|@file>, --format <human|json>",agentSessionCreate,[Internal] Creates a new agent session on behalf of the current user,AgentSession,internal
mutation,linear mutation,agent-session-create-on-comment,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",agentSessionCreateOnComment,Creates a new agent session on a rootcomment.,AgentSession,
mutation,linear mutation,agent-session-create-on-issue,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",agentSessionCreateOnIssue,Creates a new agent session on an issue.,AgentSession,
mutation,linear mutation,agent-session-update,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",agentSessionUpdate,Updates an agent session.,AgentSession,
mutation,linear mutation,agent-session-update-external-url,<id>,"--input <json|@file>, --select <fields|@file>, --format <human|json>",agentSessionUpdateExternalUrl,"Updates the externalUrl of an agent session, which is an agent-hosted page associated with this session.",AgentSession,
mutation,linear mutation,airbyte-integration-connect,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",airbyteIntegrationConnect,Creates an integration api key for Airbyte to connect with Linear.,Integration,
mutation,linear mutation,attachment-create,,"--input <json|@file>, --select <fields|@file>, --format <human|json>",attachmentCreate,"Creates a new attachment, or updates existing if the same `url` and `issueId` is used. To create an integration-aware attachment, use the integration-specific mutations such as `attachmentLinkZendesk`, `attachmentLinkSlack`, or `attachmentLinkURL` instead.",Attachment,
mutation,linear mutation,attachment-delete,<id>,"--select <fields|@file>, --format <human|json>",attachmentDelete,Deletes an issue attachment.,Attachment,
mutation,linear mutation,attachment-link-discord,<id>,"--channel-id <value>, --create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --message-id <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkDiscord,Link an existing Discord message to an issue. This creates a rich attachment using the workspace's Discord integration.,Attachment,
mutation,linear mutation,attachment-link-front,<id>,"--conversation-id <value>, --create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --title <value>, --select <fields|@file>, --format <human|json>",attachmentLinkFront,"Link an existing Front conversation to an issue. This creates a rich attachment using the workspace's Front integration, enabling features like automated conversation updates.",Attachment,
mutation,linear mutation,attachment-link-git-hub-issue,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkGitHubIssue,"Link a GitHub issue to a Linear issue. This creates a rich attachment using the workspace's GitHub integration, enabling features like automated status syncing.",Attachment,
mutation,linear mutation,attachment-link-git-hub-pr,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --link-kind <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkGitHubPR,"Link a GitHub pull request to an issue. This creates a rich attachment using the workspace's GitHub integration, enabling features like automated status syncing.",Attachment,
mutation,linear mutation,attachment-link-git-lab-mr,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --number <value>, --project-path-with-namespace <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkGitLabMR,"Link an existing GitLab MR to an issue. This creates a rich attachment using the workspace's GitLab integration, enabling features like automated status syncing.",Attachment,
mutation,linear mutation,attachment-link-intercom,<id>,"--conversation-id <value>, --create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --part-id <value>, --title <value>, --select <fields|@file>, --format <human|json>",attachmentLinkIntercom,"Link an existing Intercom conversation to an issue. This creates a rich attachment using the workspace's Intercom integration, enabling features like automated conversation updates.",Attachment,
mutation,linear mutation,attachment-link-jira-issue,<id>,"--create-as-user <value>, --display-icon-url <value>, --issue-id <value>, --jira-issue-id <value>, --title <value>, --url <value>, --select <fields|@file>, --format <human|json>",attachmentLinkJiraIssue,"Link an existing Jira issue to an issue. This creates a rich attachment using the workspace's Jira integration, enabling features like automated status syncing.",Attachment,
